Product_name,by_info,Product_img,Product_price,rating,total_review,ans_ask,prod_des,feature
Acer Aspire 5 A514-52G 14-inch Laptop,Acer,https://images-na.ssl-images-amazon.com/images/I/51neuGuk1ML.jpg,57399,4.2,300 customer reviews,200+ questions answered ,"10th Gen Intel Core i5-10210U processor , 4GB RAM, 512GB SSD , Window 10 Home 64Bit, Integrated Graphics, Silver Colour","1.60 GHzGHz Intel Core i5-10210U 10th Gen processor, 4GB DDR4 RAM, 512GB SSD, 14-inch screen, NVIDIA GeForce MX350 Graphics, Window 10 Home 64Bit operating system,11 hours battery life, 1.6kg laptop,RAM : 8 GB of DDR4 memory, upgradable up to 12 GB of DDR4 system memory using a single soDIMM module | OS : Windows 10 Home 64-bit,Battery life up to 11 hours | Thickness : 17.9 mm | Weight : 1.6Kg, Processor : 10th Gen Intel Core i5-10210U processor with max turbo speed of 4.20 GHz | Storage : SSD: 512 GB, PCIe Gen3 8 Gb/s up to 2 lanes, NVMe and supports, upto 2 TB HDD,2.5-inch 5400 RPM, Display : 14.0"" display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, high-brightness Acer ComfyView LED-backlit TFT LCD | Graphics : NVIDIA GeForce MX350"
ASUS ZenBook UX430UA-GV573T Intel Core i5,Asus,https://images-na.ssl-images-amazon.com/images/I/810QsxZTTEL._SX679_.jpg,56450,4,142 customer reviews,100++ questions answered ,"8th Gen 14-inch FHD Thin and Light Laptop (8GB RAM, 256GB SSD, Windows 10, Integrated Graphics, 1.30 kg, Gold Edition","Processor: 8th Gen Intel Core i5-8250U processor, base speed 1.6GHz, 4 Cores, with Turbo boost up to 3.4GHz and 6MB cache. Memory & Storage: 8GB 2133MHz LPDDR3 on board RAM with| Storage: 256GB SATA3M.2 SSD, Graphics: Intel Integrated UHD Graphics 620. Operating System: Pre-loaded Windows 10 Home with lifetime validity. Design & battery: 7.18mm Thin Side Bezels | Metal Chasis| 15.9mm Thin| Laptop weight 1.30 Kg |50WHr 3-cell Li-polymer battery with | upto 9 Hours* Battery backup, Keyboard and Touchpad: Full-size backlit keys, with 1.4mm key travel, Precision Touchpad (PTP) technology supports up to four-finger smart gestures, I/O Ports: 1x USB 2.0, 1x USB 3.1 Type A (Gen1), 1x USB 3.1 Type C (Gen 1) support Display, 1x Combo Audio Jack, 1x micro HDMI, 1 x SD card reader. Display: 14” LED-backlit FHD (1920 x 1080). 16:9 slim-bezel NanoEdge Anti-Glare Display, 80% screen-to-body ratio, 100% sRGB color gamut, 178° wide-view technology. Other: HD web camera| Wi-Fi 5 (802.11ac) 2*2 | Bluetooth 4.1 (Dual band) | Audio Certified by Harman/Kardon."
ASUS VivoBook 15 Intel Core,Asus,https://images-na.ssl-images-amazon.com/images/I/81bRmH5QmqL._SX679_.jpg,52990,3.5,5000 customer reviews,1456 questions answered ,"8th Gen 15.6-inch FHD, Compact and Light Laptop, 8GB RAM/256GB NVMe SSD, Windows 10, MS Office 2019, Integrated Graphics, FP Reader, Transparent Silver,1.9 kg","Processor: 8th Gen Intel Core i5-8265U Processor, 1.6 GHz (6MB Cache, up to 3.9 GHz, 4 Cores, 8 Threads). Memory & Storage: 8GB (2x 4GB) DDR4 2400MHz Dual-Channel RAM, upgradeable up to 12GB using 1x SO, DIMM Slot with | Storage: 256GB M.2 NVMe PCIe 3.0 SSD + empty 1x 2.5-inch SATA slot for storage expansion. Graphics: Integrated Intel UHD Graphics 620 Display: 39.62cm(15.6) (16:9) LED-backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC. Software Included: Pre-installed MS Office Home and Student 2019 | Operating System: Pre-loaded Windows 10 Home with lifetime validity. Design & battery: NanoEdge Bezels | 22.9mm Thin body | Laptop weight 1.90 kg | Thin and Light Laptop | 32WHrs, Lithium-ion, 2-Cell battery. Keyboard: Full-size chiclet keyboard with Num-key | 1.4mm key travel distance I/O ports: 1x 3.5mm Combo Audio Jack, 1x HDMI 1.4, 2x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 1x Micro SD card reader. Other: Fingerprint reader | VGA Web Camera (Fixed type) | Wi-Fi 5 (802.11ac) 2*2 | Bluetooth 4.2 | Built-in speaker | Built-in microphone."
Microsoft Surface Pro 7 VDV-00015,Microsoft,https://rukminim1.flixcart.com/image/416/416/k6b2snk0/computer/x/p/m/microsoft-na-original-imafzsfzndyyemuy.jpeg?q=70,90990,4.2,500+ customer reviews,190+ questions answered ,"2.3 inch Touchscreen 2-in-1 Laptop, 10th Gen Intel Core i5, 8GB, 128GB SSD, Windows 10 Home, Intel Iris Plus Graphics ,Platinum","Processor: 10th Generation Intel Core i5-1035G4 Processor, Quad-Core, 1.10 Ghz. Operating System: Pre-loaded Windows 10 Home with lifetime validity. Display: 12.3 inch 2736 x 1824 Pixelsense display | Touchscreen enabled. Memory & Storage : 8GB LPDDR4x RAM with Intel Iris Plus Graphics | Storage: 128GB SSD. Design & Battery: Touchscreen 2-in-1 laptop | Thin and light design | Laptop weight: 0.77 kg | Average battery life = 10.5 hours. Preinstalled software: Windows 10 Home with lifetime validity, Microsoft Office 365 30-day trial | In the box: Surface Pro 7, Power Supply, Quick Start Guide, Safety and warranty documents. Ports & CD drive: 2 USB 3.0, 1 audio-out port, 1 MicroSD card reader | Without CD drive. In the box details : Surface Pro 7, Power Supply, Quick Start Guide, Safety and warranty documents (Mouse, Stylus Pen,Typecover are not Included – to be bought separately)."
Acer Aspire 7 Core i5 9th Gen,Acer,https://rukminim1.flixcart.com/image/416/416/kamtsi80/computer/m/8/y/acer-na-gaming-laptop-original-imafs5prytwgrcyf.jpeg?q=70,58990,4.2,4923 customer reviews,111+ questions answered ,"Windows 10, 2.4 Ghz, 8 GB DDR4 RAM, 4 GB Graphics, 15.6 inches (39.62 cm), 1920 x 1080 pixels, 2.15 Kg, 23 mm thick, 512 GB SSD, Li-Ion3 Cell,  Operating System Type : 64-bit, Display Details, Display Size : 15.6 Inches (39.62 cm), Display Resolution: 1920 x 1080 Pixels, Pixel Density : 141 ppi, Display Type : LED. Display Features : Full HD Acer ComfyView LED-backlit TFT LCD Display with IPS (In-Plane Switching) Technology.",
Dell G3 Core i5 10th Gen,Dell,https://rukminim1.flixcart.com/image/416/416/kcc9q4w0/computer/w/h/k/dell-original-imafthm5dfhccawe.jpeg?q=70,73990,4.4,5000+ customers reviews,3100 questions answered,The Dell G3 gaming laptop is a powerful machine that features the 10th generation Intel Core i5 processor and an Nvidia GeForce GTX 1650 4 GB GDDR6 graphics card that enhances your gaming experience. The laptop features the Game Shift Technology that helps you to boost your machine’s performance at the simple press of the F7 key. The laptop comes with stereo speakers and produces an immersive sound that helps you enjoy your games. The laptop is elegantly crafted and comes with a 38.1 cm FHD display.,"NVIDIA Geforce GTX 1650 for Desktop Level Performance, 15.6 inch Full HD LED Backlit Anti-glare IPS Display, Light Laptop without Optical Disk Drive, Pre-installed Genuine Windows 10 OS."
Dell Vostro Core i3 10th Gen,Dell,https://rukminim1.flixcart.com/image/416/416/kctf0cw0/computer/s/q/k/dell-original-imaftuvzyhyfmvzy.jpeg?q=70,35990,3.8,986 customer reviews,223+ questions answered ,"Bring home the Dell Vostro and enjoy the smooth multitasking and the computing power of its 10th Gen Intel Core processor. Store all of your files in its 1 TB HDD that provides ample space for all your favourite games, music and movies, among other things. The Trusted Platform Model 2.0 featured in this laptop ensures that all your data remains secure even if the hard drive were to be stolen and installed in another computer.","Processor Name : Core i3, Processor Generation : 10th Gen, SSD : No. 4 GB RAM, RAM and Type 1TB & DDR4. Processor Variant : 1005G, Clock Speed : 1.2 GHz with Turbo Boost Upto 3.4 GHz. Memory Slots : 2. Expandable Memory : Upto 16 GB | RAM Frequency : 2666 MHz, Cache : 4 MB, RPM : 5400. Graphic Processor : Intel Integrated UHD : Number of Cores : 2 & 64 bit OS, Windows 10 Home."
Lenovo Legion 7 Core i7 10th Gen,Lenovo,https://rukminim1.flixcart.com/image/416/416/kdyus280/computer/t/w/3/lenovo-na-gaming-laptop-original-imafuqwpncg3bzhx.jpeg?q=70,349890,4.5,1000+ customer reviews,345+ questions answered ,"15.6 inch Full HD LED Backlit Anti-glare WVA Display (16:9 Aspect Ratio, 500 nits Brightness, 144 Hz Refresh Rate, 100% Adobe RGB Gamut, HDR400, Dolby Vision, G-Sync Support).","Graphic Memory : GDDR6, Dedicated Graphic Memory Capacity : 8 GB, Processor Brand : Intel | Processor : Core i7 | Processor Generation : 10th Gen, SSD : 1 TB , RAM : 16 GB & RAM Type : DDR4.Processor Variant : 10875H, Chipset : Intel HM470, Clock Speed : 2.3 GHz with Turbo Boost Upto 5.1 GHz, Memory Slots : 2 Slots | Expandable Memory : Upto 32 GB, RAM Frequency : 3200 MHz. Graphic Processor : NVIDIA Geforce RTX 2080 Super Max-Q, 8 Cores ,Operating System, OS Architecture : 64 bit OS, Windows 10 Home. Mic In : Yes, RJ45 : Yes, SB Port : 1 x USB 3.1 ((1st Gen) (Always On)), 2 x USB 3.1 (2nd Gen), 1 x USB 3.1 Type C ((1st Gen) (with the Function of Display 1.4)), 1 x USB 3.1 Type C (2nd Gen) / Thunderbolt 3 (with the Function of DP 1.4), HDMI Port : 1 x HDMI Port (v2.0)"
HP 14 10th Gen Intel Core i5,HP,https://rukminim1.flixcart.com/image/416/416/kb89ea80/computer/n/m/5/hp-na-thin-and-light-laptop-original-imafsmmghwzzu3mq.jpeg?q=70,63990,4.7,89 customer reviews,89 questions answered ,"The HP 14s is a slim, stylish, and portable laptop that comes with a built-in 4G LTE module to let you enjoy internet connectivity wherever you take it. This laptop is powered by a 10th Gen Intel Core processor for smooth computing, a 3-cell Lithium-ion Prismatic Battery for long hours of work/entertainment, and a Full HD, Micro-edge Display for crystal-clear visuals.","Built-in 4G LTE (SIM card required; not included) allows you to stay connected, always - with or without Wi-Fi. Processor: 10th Gen Intel Core i5-1035G1 Processor (1.1 GHz base frequency, up to 3.7 GHz with Intel. Turbo Boost Technology, 6 MB cache, 4 cores). Operating System: Pre-loaded Windows 10 Home with lifetime validity. Display: 15.6-inch Full HD (1920 x 1080) Brightview Micro-Edge WLED Display, 250 nits. Memory & Storage: 8GB (1x8GB) DDR4 RAM, upgradable to 16GB | Hybrid Storage: 256GB M.2 SSD + 1TB 5400 RPM HDD. Design & Battery: Thin & Light Design, Weight: 1.5 kg | Up to 9 Hours of battery backup, 3-cell, 70 Wh Li-ion battery, HP Fast Charge (50% in 45 mins). Preinstalled Software: Microsoft Office Home & Student 2019 | In the box: Laptop with included battery and charger. Ports: 1 USB 3.1 Type-C, 2 USB 3.0 Type-A, 1 HDMI | Without CD-drive. Other features: 4G LTE, M.2 Slot, Narrow Bezel Design, HD Webcam with built-in Digital Microphone, Dual Channel Wifi (2x2), Bluetooth 5.0."
Lenovo Ideapad Slim 3i 10th Gen,Lenovo,https://rukminim1.flixcart.com/image/416/416/kd4uj680/computer/w/u/2/lenovo-original-imafu3htrvgdthrs.jpeg?q=70,45990,3,3000 customer reviews,2001 questions answered ,"Stylish & Portable Thin and Light Laptop, 14 inch Full HD LED Backlit Anti-glare TN Display (16:9 Aspect Ratio, 220 nits Brightness). Light Laptop without Optical Disk Drive","Processor: 10th Gen Intel Core i5-1035G1 processor, 1.0 Ghz base speed, 3.6 Ghz max speed, 4 Cores, 6Mb Smart Cache Operating System: Pre-loaded Windows 10 Home withlifetime validity Display: 15.6-inch screen with (1920x1080) full hd display | Anti glare technologyMemory and Storage: 8 GB RAM | Storage 1 TB HDD Design and battery: 1.85Kg thin and light laptop | Battery life : Upto 5 Hours This genuine Lenovo Laptop comes with 1 year onsite domestic warranty from Lenovo covering manufacturing defects and not covering physical damage. For more details, see Warranty section. Pre-Installed Software: Microsoft Office Home and Student 2019 | Inside the box: Laptop, Charger, User Manual Ports and Drive: 2 x USB 3.1 (Gen 1), USB 2.0, HDMI 1.4b, SD card reader."
