Product_name,by_info,Product_img,Product_price,rating,total_review,ans_ask,prod_des,feature
BYMUSE Run Sport Bluetooth Earphones,BYMUSE,https://images-na.ssl-images-amazon.com/images/I/51mGasgwNsL._SL1000_.jpg,1700,3.7,1500 customer reviews,320+ questions answered, Bluetooth Earphones Bass TWS Wireless Hand Free TB5.0 with Microphone in Ear Headset,"Bluetooth Version: V5.0 7, Driver unit: 6mm, Voice Assistant, Earphone battery type: rechargeable Li-polymer battery 3.7V/50mAh x 2 : Siri and Google"
ODIO Bluetooth Neckband Earphone ON01,ODIO,https://images-na.ssl-images-amazon.com/images/I/71sIIXpj6cL._SL1500_.jpg,1600,4,1305 customer reviews,20+ questions answered,"Sports Wireless Headset with Super Extra Bass, Premium Chipset,Bluetooth Version 5.0 and Up to 12H Playback Active","15 mins charge, 45 mins play: The ODIO ON07 are equipped with a 150 mAH battery that'll surely allow you to spend your time with these earphones a quarter of your day"
boAt BassHeads ,boAt ,https://images-na.ssl-images-amazon.com/images/I/719elVA3FvL._SL1500_.jpg,390,3.5,1290 customer reviews,1230+ questions answered,"BassHeads 100 in-Ear Wired Earphones with Super Extra Bass, in-line Mic, Hawk Inspired Design and Perfect Length Cable (Black)","Features a HD microphone to make crystal clear calls - making life easier on the go, play/pause music or answer/end calls with one-click, track forward with two-clicks or back with 3 clicks make these earphones extremely user-friendly"
Sketchfab Extra bass Headphones,Sketchfab,https://images-na.ssl-images-amazon.com/images/I/61r-6tYW8tL._SL1100_.jpg,450,3.9,500 customer reviews,30+ questions answered,Extra bass Headphones Over The Ear Headset with Deep bass (Red),"30 mm closed, dynamic driver unit for powerful EXTRA BASS sound Portable, swivel folding design for listening on the go Cushioned ear pads for long-wearing comfort; Cord length : 1.2 m"
boAt BassHeads 225,boAt,https://images-na.ssl-images-amazon.com/images/I/61AxA2YB8kL._SL1500_.jpg,450,3.2,340+ customer reviews,120+ questions answered,"225 in-Ear Wired Earphones with Super Extra Bass, Metallic Finish, Tangle-Free Cable and Gold Plated Angled Jack (Black)","The noise-cancelling microphone enables trouble free receiving of calls or undeterred sessions of musical extravaganza Made to fit you and your lifestyle, providing a smooth grip for an extra secure and comfortable fit for your ears"
JBL C100SI ,JBL,https://images-na.ssl-images-amazon.com/images/I/61ptzNC8r8L._SL1500_.jpg,700,4.4,100+ customer reviews,50+ questions answered,In-Ear Deep Bass Headphones with Mic (Black),"One-Button Universal Remote with Mic Quick Launch Access to Google Assistant / Siri Noise Cancelling Microphone Sleek, Glossy & Ergonomic design"
pTron HBE6 Headphone,pTron,https://images-na.ssl-images-amazon.com/images/I/61r3AbXTjrL._SL1100_.jpg,250,3.2,1500 customer reviews,320+ questions answered,"(High Bass Earphones) Metal in-Ear Wired Headset with Mic for All Smartphones (Red & Black)
","6 months manufacturer warranty, for any queries please contact_us on: [040-67138888]"
boAt Rockerz 255 ,boAt,https://images-na.ssl-images-amazon.com/images/I/61ku39qVEzL._SL1500_.jpg,1450,3.2,1305 customer reviews,20+ questions answered,"Sports Wireless Headset with Super Extra Bass, IPX5 Water & Sweat Resistance, Qualcomm Chipset and Up to 6H Playback (Active Black)",Powered By Qualcomm CSR8635 Chipset : High Level functionality is provided to the boAt Rockerz 255 by the Advanced Qualcomm CSR 8635 Chipset providing the features of the latest Bluetooth 4.1 Version
Cosmic Byte GS410 ,Cosmic,https://images-na.ssl-images-amazon.com/images/I/41dqZOR-GwL.jpg,1000,3.1,1290 customer reviews,1230+ questions answered,"Headphones with Mic and for PS4, Xbox One, Laptop, PC, iPhone and Android Phones (Black/Blue)","Delivers clear sound and deep bass for real game, little smart in-line Remote Control for sound and mic Flexible microphone for exact positioning and mic with great sensitivity at picking up sounds, your partner can hear your words clearly"
JBL C50HI,JBL,https://images-na.ssl-images-amazon.com/images/I/617bCX7Y-aL._SL1500_.jpg,500,4,500 customer reviews,30+ questions answered,Headphones with Mic (Blue),BL Signature Sound High Clean Bass One-Button Universal Remote with Mic Quick Launch Access to Google Assistant / Siri
